age,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
47,602100,580000,556754,544892,590004,593239,596501,576797,589914,604226,614830,582431,601041,604092,638794,624053,643010,705875,696291,679898,700498,659552,639105,601905,575928,549097,514740,479590,452704,433831,415410,383121,367202,344929,340692,330953,344125
48,596000,597700,548420,552163,541488,586378,589662,592975,573442,586542,600823,611412,579245,597789,600861,635420,620797,639686,702272,692781,676512,697047,656339,636026,599034,573211,546536,512364,477400,450658,431894,413578,381450,365619,343456,339252,329567
49,621600,591400,563779,543683,548489,537951,582609,585939,589302,569945,583020,597268,607841,575906,594384,597473,631878,617384,636194,698490,689091,672954,693420,652958,632784,596013,570350,543837,509860,475091,448500,429852,411644,379686,363949,341901,337730
50,661900,616500,556891,558209,539834,544669,534273,578683,582059,585471,566289,579338,593550,604095,572405,590810,593914,628161,613794,632525,694511,685210,669209,689600,649393,629368,592829,567333,540989,507216,472653,446222,427694,409601,377822,362185,340256
51,677800,656000,580454,551201,553996,535828,540692,530437,574587,578007,581461,562463,575482,589647,600164,568728,587052,590175,624248,610018,628662,690321,681122,665261,685568,645634,625766,589468,564147,537979,504424,470079,443814,425413,407441,375851,360316
52,700000,671300,617756,574353,546765,549606,531654,536541,526431,570307,573764,577262,558454,571431,585547,596031,564857,583100,586236,620129,606038,624590,685903,676807,661091,681313,641666,621958,585915,560776,534797,501471,467354,441265,422997,405154,373762
53,722800,692900,630116,610428,569413,542138,545027,527292,532202,522240,565820,569315,572857,554236,567171,581231,591676,560783,578932,582085,615783,601839,620294,681238,672247,656684,676816,637468,617930,582153,557210,531429,498343,464466,438565,420439,402728
54,688000,715000,651476,622264,604815,564257,537308,540239,522729,527659,517843,561111,564645,568218,549799,562685,576681,587090,556482,574536,577702,611194,597404,615751,676301,667424,652024,672055,633023,613661,578169,553431,527858,495026,461405,435702,417722
55,679500,680000,672000,642396,616133,598950,558869,532252,535225,517946,522888,513225,556164,559724,563334,545121,557949,571883,582244,551942,569891,573070,606343,592711,610942,671076,662319,647086,667008,628308,609135,573944,549422,524068,491505,458155,432658
56,649000,671000,637907,662262,635595,609723,592818,553225,526953,529965,512920,517873,508368,550948,554538,558181,540180,552952,566810,577124,547140,564976,568169,601206,587738,605848,665541,656905,641848,661652,623306,604332,569457,545162,520043,487766,454699
57,643300,640300,629512,628411,654727,628478,603014,586388,547305,521389,524432,507632,512595,503243,545446,549063,552733,534962,547665,561446,571706,542057,559774,562976,595758,582465,600447,659667,651158,636284,655965,617994,599228,564687,540635,515764,483786
58,597900,634100,598789,619170,620738,646837,621026,595976,579639,541085,515534,518609,502064,507022,497834,539635,543272,546978,529439,542071,555765,565966,536671,554257,557465,589980,576872,594713,653427,645050,630372,649922,612345,593799,559614,535820,511206
59,611100,588600,591928,588767,611032,612699,638571,613205,588585,572545,534536,509367,512473,496180,501138,492117,533485,537151,540881,523592,536144,549744,559883,530957,548399,551617,583847,570929,588619,646793,638557,624087,643491,606333,588021,554215,530689
60,554600,600900,547924,581010,580434,602502,604272,629893,604988,580811,565071,527635,502866,505987,489965,494916,486065,526983,530665,534425,517394,529859,543360,553426,524889,542180,545407,577328,564610,582137,639738,631652,617397,636646,599933,581870,548460
61,575300,544600,558239,537444,572144,571698,593559,595422,620773,596344,572620,557194,520358,495992,499135,483392,488328,479664,520092,523796,527580,510822,523194,536581,546567,518444,535574,538805,570395,557887,575243,632232,624299,610272,629355,593118,575311
62,567500,564100,504742,547238,528593,562848,562538,584165,586120,611179,587236,563987,548887,512663,488729,491888,476432,481360,472878,512792,516512,520320,503850,516116,529380,539281,511596,528550,531783,563017,550734,567907,624239,616469,602683,621591,585849
63,556800,555500,522341,494321,537501,519314,553101,552916,574292,576334,601070,577637,554881,540102,504533,481047,484212,469070,473974,465691,505053,508788,512619,496448,508597,521731,531542,504315,521079,524311,555169,543123,560096,615727,608129,594602,613309
64,570300,544100,515102,510760,484813,527295,509587,542866,542806,563908,566025,590419,567516,545256,530823,495936,472914,476097,461267,466153,458073,496848,500597,504445,488587,500613,513606,523315,496574,513131,516364,546820,535019,551780,606664,599249,585983
65,470100,556300,504398,502567,500127,474851,516602,499377,532116,532177,552975,555168,579195,556823,535093,521015,486838,464318,467500,453009,457867,450000,488152,491908,495767,480243,492136,504972,514571,488340,504680,507914,537934,526394,542928,597016,589783
66,413600,457700,514301,490649,491204,488993,464420,505386,488661,520821,520993,541467,543732,567344,545541,524359,510643,477228,455217,458407,444265,449091,441447,478932,482689,486562,471389,483134,495802,505277,479591,495698,498925,528483,517218,533511,586738
67,394100,401800,423593,499902,478509,479207,477239,453389,493515,477309,508841,509128,529253,531564,554747,533536,512921,499606,466981,445522,448711,434940,439731,432319,469087,472848,476732,461927,473511,485993,495341,470236,486088,489309,518370,507402,523425
68,255700,382000,369280,410001,486366,465693,466546,464808,441714,480943,465270,496134,496535,516256,518631,541345,520749,500754,487839,456068,435187,438373,424998,429745,422574,458580,462341,466228,451817,463222,475510,484721,460229,475810,479023,507555,496887
69,290200,247300,351980,356835,397889,472195,452280,453268,451759,429447,467715,452601,482750,483238,502549,504974,527175,507247,487876,475396,444515,424244,427427,414460,419156,412242,447438,451190,455077,441076,452295,464374,473432,449591,464881,468088,496040
70,256600,279800,227984,338332,345359,385231,457386,438238,439355,438071,416563,453817,439278,468641,469236,488097,490557,512240,492980,474281,462246,432303,412675,415844,403305,407947,401301,435630,439371,443250,429687,440705,452553,461449,438296,453279,456463
71,326200,246600,257690,218197,326494,333391,372033,441914,423554,424793,423722,403052,439231,425260,453813,454503,472871,475389,496488,477949,459940,448371,419416,400455,403605,391518,396100,389728,423138,426858,430730,417630,428424,440028,448750,426326,440964
72,422700,312500,226975,247166,209887,314174,320941,358278,425771,408221,409566,408711,388904,423918,410562,438246,439014,456889,459426,479930,462130,444842,433760,405834,387571,390702,379086,383595,377510,409942,413643,417503,404880,415440,426780,435319,413647
73,423100,403400,285034,216373,236902,201263,301393,308000,343967,408958,392233,393682,393034,374091,407906,395171,421924,422799,440113,442689,462550,445518,428983,418401,391550,374022,377126,365995,370427,364634,396039,399715,403549,391433,401738,412801,421126
74,442300,402100,368301,270465,206553,226283,192342,288148,294577,329111,391479,375606,377146,376670,358648,391190,379082,404886,405827,422575,425171,444353,428123,412362,402293,376572,359805,362870,352249,356588,351106,381428,385065,388874,377283,387321,398070
75,446700,418600,365066,345718,257055,196432,215338,183130,274457,280691,313723,373365,358358,359948,359669,342581,373775,362346,387115,388146,404281,406890,425362,409953,394988,385458,360906,344926,347951,337850,342096,336933,366109,369707,373479,362440,372174
76,441700,420700,376934,341440,327064,243383,186114,204154,173705,260439,266459,297945,354768,340606,342270,342164,326014,355844,345064,368787,369887,385383,388001,405724,391151,377009,368022,344671,329504,332474,322915,327060,322214,350203,353750,357483,346993
77,342000,413700,377437,351751,321423,308131,229503,175614,192757,164091,246126,251922,281812,335699,322430,324141,324182,309021,337400,327310,349932,351096,365929,368539,385481,371769,358457,350018,327907,313564,316480,307476,311503,306988,333739,337232,340894
78,268300,318400,367864,350482,329319,301090,288900,215366,164905,181119,154264,231490,237041,265255,316155,303775,305506,305723,291525,318434,309028,330509,331733,345867,348459,364594,351752,339284,331411,310562,297077,299931,291486,295395,291210,316680,320088
79,190400,248200,282648,340108,326063,306652,280557,269428,201026,154030,169286,144266,216583,221848,248378,296198,284699,286479,286816,273627,299004,290292,310597,311867,325272,327841,343131,331168,319565,312253,292710,280099,282874,275010,278784,274940,299060
80,153200,174900,217943,258940,314169,301548,283896,259897,249803,186553,143039,157318,134141,201451,206451,231247,275906,265333,267103,267583,255394,279203,271189,290279,291584,304243,306769,321180,310117,299373,292639,274424,262692,265392,258108,261745,258221
81,184900,139700,151536,198839,237347,288320,277109,261146,239218,230133,172022,131996,145275,123926,186210,190920,213939,255436,245737,247521,248113,236927,259139,251817,269662,270999,282879,285345,298867,288689,278823,272667,255787,244955,247563,240870,244339
82,177900,167200,120053,137563,180738,216003,262759,252862,238534,218647,210535,157528,120965,133210,113710,170943,175337,196603,234862,226070,227836,228527,218342,238929,232292,248878,250224,261303,263710,276305,267026,258034,252442,236918,226981,229495,223371
83,202200,159400,142442,108028,123900,162999,195080,237621,228962,216212,198319,191148,143163,110000,121236,103553,155740,159847,179314,214368,206450,208186,208962,199760,218710,212753,228054,229394,239673,241989,253660,245270,237130,232110,217932,208893,211282
84,156300,179300,134904,126840,96352,110638,145776,174699,213075,205583,194342,178390,172107,129009,99212,109432,93521,140752,144527,162238,194090,187025,188721,189561,181320,198639,193332,207342,208678,218128,220359,231096,223566,216282,211809,198973,190799
85,149900,137200,152177,118794,111959,85133,97893,129169,155002,189312,182902,173099,159006,153528,115215,88678,97882,83722,126062,129532,145497,174195,167958,169596,170480,163178,178866,174185,186922,188223,196859,198990,208781,202108,195641,191709,180166
86,123900,130000,111563,130817,103581,97810,74469,85742,113298,136146,166515,161110,152647,140294,135617,101885,78477,86713,74212,111827,114978,129237,154856,149408,150974,151890,145477,159559,155490,166953,168221,176047,178054,186927,181063,175394,171953
87,102700,106000,105450,97597,112616,89304,84518,64423,74271,98287,118276,144876,140373,133122,122462,118509,89121,68723,75993,65097,98159,100995,113605,136243,131542,133028,133945,128376,140907,137398,147629,148851,155867,157760,165715,160633,155697
88,82300,86600,84281,89984,82893,95761,76079,72153,55061,63564,84247,101536,124556,120829,114744,105644,102335,77067,59475,65841,56448,85181,87710,98740,118525,114525,115909,116808,112044,123062,120090,129127,130281,136527,138280,145352,140980
89,63600,68400,68631,71029,75269,69465,80373,63962,60788,46444,53693,71281,86038,105675,102686,97639,89962,87270,65791,50835,56334,48342,73010,75238,84773,101864,98499,99770,100649,96616,106204,103723,111608,112702,118190,119807,126003
90,42900,51900,53179,56374,58403,62044,57390,66494,53006,50484,38622,44718,59463,71861,88418,86054,81919,75571,73386,55408,42860,47550,40845,61743,63684,71823,86388,83600,84765,85592,82238,90478,88434,95246,96257,101031,102483
91,31100,34400,39780,42930,45543,47263,50359,46678,54156,43247,41282,31627,36674,48830,59120,72862,71016,67720,62521,60807,45976,35607,39552,34011,51462,53133,59978,72215,69955,70993,71768,69023,76004,74365,80162,81090,85172
92,24200,24400,24804,31402,34010,36161,37611,40185,37323,43367,34696,33198,25469,29568,39447,47839,59048,57672,55063,50903,49578,37543,29114,32382,27879,42229,43640,49309,59445,57635,58556,59267,57054,62896,61598,66470,67292
93,19000,18500,17657,19963,24362,26443,28194,29384,31479,29300,34100,27337,26217,20134,23418,31300,38017,47028,46002,44000,40725,39727,30132,23400,26063,22468,34067,35240,39867,48118,46704,47506,48140,46401,51205,50207,54224
94,8200,14200,14158,13689,15127,18520,20158,21549,22502,24174,22552,26293,21120,20293,15613,18192,24354,29648,36733,36011,34502,31976,31244,23740,18464,20597,17777,26984,27949,31652,38256,37176,37858,38422,37077,40967,40206
95,7500,6000,12754,9775,10117,11214,13783,15040,16117,16867,18173,16995,19848,15967,15385,11856,13836,18568,22641,28116,27620,26510,24605,24085,18334,14283,15957,13790,20961,21735,24648,29835,29025,29603,30087,29074,32156
96,4200,5300,3713,7127,7025,7303,8125,10022,10963,11780,12355,13354,12518,14637,11805,11404,8801,10295,13840,16917,21052,20725,19932,18529,18172,13861,10815,12101,10475,15942,16554,18799,22788,22204,22678,23087,22335
97,2200,2900,3993,2822,4969,4922,5144,5742,7107,7795,8399,8832,9574,8992,10538,8518,8248,6381,7476,10077,12344,15397,15193,14642,13635,13400,10241,8003,8972,7778,11855,12329,14020,17028,16614,16997,17328
98,1400,1500,2711,2366,1909,3372,3359,3527,3951,4908,5398,5834,6149,6682,6295,7393,5987,5817,4507,5294,7153,8783,10982,10863,10493,9790,9640,7382,5781,6492,5638,8607,8964,10213,12425,12144,12441
99,2200,900,1166,1214,1549,1255,2225,2228,2350,2642,3294,3634,3939,4160,4537,4285,5042,4096,3990,3099,3649,4942,6083,7626,7564,7324,6845,6754,5185,4068,4578,3983,6090,6355,7253,8842,8654
100,5600,4600,6482,2055,1767,1875,1799,2389,2757,3048,3399,4029,4626,5168,5624,6133,6262,6831,6550,6295,5555,5485,6360,7715,9603,10707,11153,11035,10866,9693,8206,7674,7028,8142,9111,10347,12200
